ID,Nombre,Estado,URL,Fecha de Actualización
2,SIGU Intranet,online,https://sigu.autonomadeica.edu.pe,2024-11-21 16:08:16
3,ELIBRO,online,https://elibro.net/es/lc/autonomadeica/inicio,2024-11-21 16:08:16
4,Repositorio,online,https://repositorio.autonomadeica.edu.pe,2024-11-21 16:08:16
6,Goggle,online,https://www.google.com,2024-11-21 16:08:16
7,SIGU ADMIN,online,https://sigu.autonomadeica.edu.pe/admin/inicio,2024-11-21 16:08:16
8,SIGU ALUMNO,online,https://sigu.autonomadeica.edu.pe/alumno/entrar,2024-11-21 16:08:16
11,DIPI 2,online,https://dipi.autonomadeica.edu.pe/rai,2024-11-21 16:08:16
12,GITHUB,online,https://github.com,2024-11-21 16:08:16
13,JEDU,online,https://autonomadeica.jedu.pe,2024-11-21 16:08:16
17,GOOGLE 2,online,https://www.google.com,2024-11-21 16:08:16
21,AUTONOMA,online,https://autonomadeica.com,2024-11-21 16:08:16
22,DIPI PRUEBA,offline,http://dipi.autonomadeica.edu.pe:5000,2024-11-21 16:08:16
24,LOGIN AULA VIRTUAL,online,https://aulavirtual.autonomadeica.edu.pe/login/index.php,2024-11-21 16:08:16

ID,Nombre,Fecha de Cambio,Estado Anterior,Estado Actual,Duración (Horas)
2,SIGU Intranet,2024-11-20 22:27:46,online,online,0
2,SIGU Intranet,2024-11-20 22:29:03,online,online,0
2,SIGU Intranet,2024-11-20 22:30:20,online,online,0
2,SIGU Intranet,2024-11-20 22:31:36,online,online,0
2,SIGU Intranet,2024-11-20 22:32:54,online,online,0
2,SIGU Intranet,2024-11-20 22:34:10,online,online,0
2,SIGU Intranet,2024-11-20 22:35:27,online,online,0
2,SIGU Intranet,2024-11-20 22:36:43,online,online,0
2,SIGU Intranet,2024-11-20 22:38:00,online,online,0
2,SIGU Intranet,2024-11-20 22:39:17,online,online,0
2,SIGU Intranet,2024-11-20 22:40:34,online,online,0
2,SIGU Intranet,2024-11-20 22:41:51,online,online,0
2,SIGU Intranet,2024-11-20 22:43:08,online,online,0
2,SIGU Intranet,2024-11-20 22:44:24,online,online,0
2,SIGU Intranet,2024-11-20 22:45:40,online,online,0
2,SIGU Intranet,2024-11-20 22:47:00,online,online,0
2,SIGU Intranet,2024-11-20 22:48:17,online,online,0
2,SIGU Intranet,2024-11-20 22:49:35,online,online,0
2,SIGU Intranet,2024-11-20 22:50:53,online,online,0
2,SIGU Intranet,2024-11-20 22:52:10,online,online,0
2,SIGU Intranet,2024-11-20 22:53:28,online,online,0
2,SIGU Intranet,2024-11-20 22:54:44,online,online,0
2,SIGU Intranet,2024-11-20 22:56:02,online,online,0
2,SIGU Intranet,2024-11-20 22:57:22,online,online,0
2,SIGU Intranet,2024-11-20 22:58:38,online,online,0
2,SIGU Intranet,2024-11-20 22:59:56,online,online,0
2,SIGU Intranet,2024-11-20 23:01:13,online,online,0
2,SIGU Intranet,2024-11-20 23:02:29,online,online,0
2,SIGU Intranet,2024-11-20 23:03:46,online,online,0
2,SIGU Intranet,2024-11-20 23:05:03,online,online,0
2,SIGU Intranet,2024-11-20 23:06:20,online,online,0
2,SIGU Intranet,2024-11-20 23:07:39,online,online,0
2,SIGU Intranet,2024-11-20 23:08:57,online,online,0
2,SIGU Intranet,2024-11-20 23:10:14,online,online,0
2,SIGU Intranet,2024-11-20 23:11:31,online,online,0
2,SIGU Intranet,2024-11-20 23:12:49,online,online,0
2,SIGU Intranet,2024-11-20 23:14:06,online,online,0
2,SIGU Intranet,2024-11-20 23:15:23,online,online,0
2,SIGU Intranet,2024-11-20 23:16:42,online,online,0
2,SIGU Intranet,2024-11-20 23:17:59,online,online,0
2,SIGU Intranet,2024-11-20 23:19:15,online,online,0
2,SIGU Intranet,2024-11-20 23:20:32,online,online,0
2,SIGU Intranet,2024-11-20 23:21:49,online,online,0
2,SIGU Intranet,2024-11-20 23:23:06,online,online,0
2,SIGU Intranet,2024-11-20 23:24:22,online,online,0
2,SIGU Intranet,2024-11-20 23:25:46,online,online,0
2,SIGU Intranet,2024-11-20 23:27:02,online,online,0
2,SIGU Intranet,2024-11-20 23:28:20,online,online,0
2,SIGU Intranet,2024-11-20 23:29:47,online,online,0
2,SIGU Intranet,2024-11-20 23:31:05,online,online,0
2,SIGU Intranet,2024-11-20 23:32:21,online,online,0
2,SIGU Intranet,2024-11-20 23:33:37,online,online,0
2,SIGU Intranet,2024-11-20 23:34:54,online,online,0
2,SIGU Intranet,2024-11-20 23:36:11,online,online,0
2,SIGU Intranet,2024-11-20 23:37:28,online,online,0
2,SIGU Intranet,2024-11-20 23:38:45,online,online,0
2,SIGU Intranet,2024-11-20 23:40:02,online,online,0
2,SIGU Intranet,2024-11-20 23:41:19,online,online,0
2,SIGU Intranet,2024-11-20 23:42:36,online,online,0
2,SIGU Intranet,2024-11-20 23:43:53,online,online,0
2,SIGU Intranet,2024-11-20 23:45:09,online,online,0
2,SIGU Intranet,2024-11-20 23:46:26,online,online,0
2,SIGU Intranet,2024-11-20 23:47:43,online,online,0
2,SIGU Intranet,2024-11-20 23:49:00,online,online,0
2,SIGU Intranet,2024-11-20 23:50:16,online,online,0
2,SIGU Intranet,2024-11-20 23:51:33,online,online,0
2,SIGU Intranet,2024-11-20 23:52:50,online,online,0
2,SIGU Intranet,2024-11-20 23:54:06,online,online,0
2,SIGU Intranet,2024-11-20 23:55:23,online,online,0
2,SIGU Intranet,2024-11-20 23:56:40,online,online,0
2,SIGU Intranet,2024-11-20 23:57:57,online,online,0
2,SIGU Intranet,2024-11-20 23:59:15,online,online,0
2,SIGU Intranet,2024-11-21 00:00:33,online,online,0
2,SIGU Intranet,2024-11-21 00:01:50,online,online,0
2,SIGU Intranet,2024-11-21 00:03:07,online,online,0
2,SIGU Intranet,2024-11-21 00:04:23,online,online,0
2,SIGU Intranet,2024-11-21 00:05:39,online,online,0
2,SIGU Intranet,2024-11-21 00:06:56,online,online,0
2,SIGU Intranet,2024-11-21 00:08:13,online,online,0
2,SIGU Intranet,2024-11-21 00:09:30,online,online,0
2,SIGU Intranet,2024-11-21 00:10:48,online,online,0
2,SIGU Intranet,2024-11-21 00:12:05,online,online,0
2,SIGU Intranet,2024-11-21 00:13:22,online,online,0
2,SIGU Intranet,2024-11-21 00:14:39,online,online,0
2,SIGU Intranet,2024-11-21 00:15:56,online,online,0
2,SIGU Intranet,2024-11-21 00:17:13,online,online,0
2,SIGU Intranet,2024-11-21 00:18:30,online,online,0
2,SIGU Intranet,2024-11-21 00:19:46,online,online,0
2,SIGU Intranet,2024-11-21 00:21:03,online,online,0
2,SIGU Intranet,2024-11-21 00:22:20,online,online,0
2,SIGU Intranet,2024-11-21 00:23:36,online,online,0
2,SIGU Intranet,2024-11-21 00:24:54,online,online,0
2,SIGU Intranet,2024-11-21 00:26:11,online,online,0
2,SIGU Intranet,2024-11-21 00:27:28,online,online,0
2,SIGU Intranet,2024-11-21 00:28:44,online,online,0
2,SIGU Intranet,2024-11-21 00:30:01,online,online,0
2,SIGU Intranet,2024-11-21 00:31:18,online,online,0
2,SIGU Intranet,2024-11-21 00:32:34,online,online,0
2,SIGU Intranet,2024-11-21 00:33:51,online,online,0
2,SIGU Intranet,2024-11-21 00:35:08,online,online,0
2,SIGU Intranet,2024-11-21 00:36:25,online,online,0
2,SIGU Intranet,2024-11-21 00:37:42,online,online,0
